epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,8192.45,0.60462,0.18374,0.91122,0.91945,0.6068,0.75997,0.5506,1.44111,2.73732,1.69553,0.000219212,0.000219212,0.000219212
93,8105.11,0.60892,0.18546,0.91343,0.92091,0.59065,0.75385,0.55092,1.41818,2.26596,1.69972,0.000255513,0.000255513,0.000255513
92,8018.23,0.61139,0.18648,0.91409,0.91484,0.58032,0.74682,0.55017,1.38221,1.9603,1.68546,0.000296546,0.000296546,0.000296546
91,7931.58,0.62415,0.19111,0.9188,0.91799,0.56804,0.74269,0.54976,1.36308,1.94787,1.6779,0.00034227,0.00034227,0.00034227
90,7843.95,0.60581,0.22244,0.9286,0.9335,0.55469,0.74448,0.55378,1.35247,2.05238,1.67453,0.00039264,0.00039264,0.00039264
63,5498.63,0.67548,0.2476,0.95117,0.945,0.55146,0.7488,0.55026,1.40198,2.10432,1.55085,0.00322778,0.00322778,0.00322778
89,7756.79,0.60835,0.22371,0.92836,0.93778,0.54414,0.74173,0.55669,1.33996,2.129,1.6642,0.000447606,0.000447606,0.000447606
88,7669.99,0.60955,0.22248,0.9283,0.94212,0.53208,0.73864,0.5608,1.33362,2.25306,1.65955,0.000507115,0.000507115,0.000507115
87,7583.43,0.61074,0.22351,0.92862,0.97232,0.52455,0.74933,0.57006,1.31966,2.37686,1.63955,0.000571106,0.000571106,0.000571106
64,5585.61,0.67126,0.24492,0.95082,0.98543,0.52089,0.75291,0.56394,1.3802,2.41686,1.54525,0.00308412,0.00308412,0.00308412
86,7496.62,0.61231,0.22475,0.92935,0.98403,0.5183,0.7509,0.56731,1.3074,2.48953,1.6248,0.000639518,0.000639518,0.000639518
85,7409.8,0.61464,0.22542,0.92999,0.98686,0.51335,0.75021,0.57021,1.30445,2.57104,1.62276,0.000712282,0.000712282,0.000712282
84,7322.86,0.61433,0.22568,0.92983,0.99406,0.50754,0.75126,0.58431,1.29033,2.64135,1.6099,0.000789327,0.000789327,0.000789327
65,5672.43,0.6689,0.24414,0.94942,0.99627,0.50689,0.75094,0.58874,1.33642,2.68759,1.52108,0.00294239,0.00294239,0.00294239
83,7236.18,0.61715,0.22403,0.93011,0.99332,0.50409,0.74954,0.60317,1.26564,2.66114,1.59757,0.000870577,0.000870577,0.000870577
82,7149.34,0.62029,0.2263,0.931,0.99479,0.50215,0.74857,0.61687,1.25475,2.68608,1.59375,0.000955951,0.000955951,0.000955951
66,5759.28,0.66658,0.2443,0.94775,0.99994,0.5,0.74857,0.59724,1.26177,2.66666,1.48647,0.00280275,0.00280275,0.00280275
67,5846.33,0.66344,0.24355,0.94624,0.49993,0.5,0.4975,0.40026,1.15136,2.29132,1.45203,0.00266532,0.00266532,0.00266532
68,5933.34,0.65842,0.24315,0.9454,0.5,0.5,0.4975,0.39941,1.0384,1.77035,1.41669,0.00253024,0.00253024,0.00253024
69,6020.33,0.65264,0.23991,0.94313,0.49992,0.5,0.4975,0.40141,0.956,1.35752,1.39201,0.00239766,0.00239766,0.00239766
70,6107.12,0.65499,0.2385,0.94246,0.4999,0.5,0.4975,0.40054,0.91018,1.16192,1.36746,0.00226769,0.00226769,0.00226769
72,6280.73,0.64375,0.23465,0.94126,0.49996,0.5,0.4975,0.40084,0.87867,0.95085,1.36111,0.00201611,0.00201611,0.00201611
73,6367.48,0.64111,0.23398,0.94019,0.49995,0.5,0.4975,0.4025,0.88839,1.04564,1.37266,0.00189475,0.00189475,0.00189475
74,6454.66,0.64035,0.23455,0.93996,0.49991,0.5,0.4975,0.40171,0.89912,1.14002,1.3778,0.00177651,0.00177651,0.00177651
75,6541.44,0.63587,0.23268,0.93941,0.49996,0.5,0.4975,0.4017,0.92514,1.2537,1.39956,0.00166149,0.00166149,0.00166149
77,6714.98,0.62999,0.23206,0.93611,0.49994,0.5,0.4975,0.40257,1.00974,1.63982,1.45959,0.00144161,0.00144161,0.00144161
78,6801.73,0.62531,0.2306,0.93367,0.49995,0.5,0.4975,0.40342,1.06307,1.93164,1.4847,0.00133695,0.00133695,0.00133695
79,6888.49,0.62548,0.22836,0.9327,0.49996,0.5,0.4975,0.40473,1.12175,2.14653,1.54669,0.00123596,0.00123596,0.00123596
81,7062.3,0.62002,0.22914,0.93137,0.99996,0.5,0.74803,0.6115,1.23351,2.62853,1.58787,0.00104537,0.00104537,0.00104537
80,6975.5,0.62415,0.22805,0.9301,1,0.49998,0.74761,0.60532,1.18852,2.45912,1.57456,0.00113873,0.00113873,0.00113873
76,6628.31,0.63539,0.23126,0.93717,0.5,0.49996,0.4975,0.40189,0.95753,1.36839,1.42518,0.00154982,0.00154982,0.00154982
71,6194.04,0.64454,0.23582,0.94096,0.5,0.49994,0.4975,0.40054,0.89603,1.0807,1.36466,0.00214046,0.00214046,0.00214046
1,110.807,1.29223,1.14625,1.25429,0.20435,0.36297,0.19418,0.09409,1.83227,5.54269,1.80413,0.00332444,0.00332444,0.07008
,2.42,,,,,,,,,,,,,
