epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,784.723,0.82038,0.39965,1.02329,0.88184,0.88738,0.88709,0.67885,1.14673,0.55851,1.25338,0.00922942,0.00922942,0.00922942
27,1108.99,0.7862,0.37525,1.00759,0.88986,0.88566,0.89718,0.68389,1.15921,0.52765,1.27291,0.00843851,0.00843851,0.00843851
32,1311.55,0.76472,0.36271,0.99797,0.88593,0.88372,0.89221,0.68141,1.16551,0.53036,1.28608,0.00783231,0.00783231,0.00783231
43,1757.24,0.73814,0.34333,0.98654,0.89039,0.88243,0.89692,0.68277,1.18474,0.52686,1.31711,0.00628101,0.00628101,0.00628101
20,825.746,0.81736,0.39733,1.02188,0.90316,0.87949,0.90385,0.67887,1.15672,0.53553,1.25313,0.00914405,0.00914405,0.00914405
51,2081.66,0.71464,0.32864,0.97833,0.88619,0.87922,0.89332,0.68488,1.19326,0.53573,1.32938,0.00505,0.00505,0.00505
31,1270.95,0.77661,0.36745,1.00249,0.89393,0.87897,0.89718,0.6815,1.17247,0.53656,1.27641,0.00795954,0.00795954,0.00795954
46,1878.68,0.7258,0.33518,0.9801,0.90563,0.87857,0.90441,0.69364,1.17041,0.51802,1.29642,0.00582435,0.00582435,0.00582435
33,1351.98,0.76856,0.36235,0.99879,0.90217,0.87833,0.90305,0.69084,1.163,0.525,1.27114,0.00770234,0.00770234,0.00770234
38,1554.3,0.75309,0.35252,0.99175,0.9006,0.87791,0.89788,0.69092,1.17531,0.51964,1.29839,0.00701588,0.00701588,0.00701588
29,1189.93,0.78258,0.37182,1.00564,0.8946,0.87748,0.89631,0.68062,1.17084,0.54375,1.28471,0.00820525,0.00820525,0.00820525
44,1797.68,0.7344,0.33978,0.98491,0.90253,0.87745,0.89714,0.6896,1.17943,0.52672,1.31413,0.00612981,0.00612981,0.00612981
40,1635.24,0.7492,0.34832,0.98888,0.90125,0.87707,0.89708,0.6888,1.17474,0.5426,1.30671,0.00672675,0.00672675,0.00672675
28,1149.5,0.7817,0.37328,1.0056,0.89132,0.87577,0.88959,0.67545,1.1645,0.54601,1.26227,0.00832349,0.00832349,0.00832349
39,1594.68,0.75128,0.34956,0.99146,0.89796,0.87575,0.89611,0.68605,1.16987,0.52312,1.29339,0.00687222,0.00687222,0.00687222
14,582.235,0.84523,0.42244,1.03784,0.90272,0.87554,0.90165,0.67013,1.15682,0.55165,1.25637,0.00959289,0.00959289,0.00959289
55,2244.45,0.70655,0.32351,0.97237,0.903,0.87532,0.89368,0.68337,1.19586,0.54681,1.33584,0.0044296,0.0044296,0.0044296
49,2000.45,0.72088,0.33065,0.98031,0.90195,0.87511,0.89938,0.68773,1.18218,0.52963,1.31486,0.00536081,0.00536081,0.00536081
57,2325.47,0.70153,0.32021,0.97043,0.89097,0.8736,0.89021,0.68285,1.19903,0.54149,1.33823,0.00412246,0.00412246,0.00412246
34,1392.43,0.76628,0.36019,0.99765,0.90178,0.87354,0.89694,0.68445,1.18011,0.53334,1.2915,0.00756976,0.00756976,0.00756976
21,866.219,0.80834,0.39238,1.01892,0.90092,0.87305,0.88909,0.68091,1.16755,0.56218,1.2672,0.00905463,0.00905463,0.00905463
17,703.711,0.82739,0.40651,1.02903,0.899,0.87295,0.88554,0.67455,1.14892,0.56088,1.2486,0.00938772,0.00938772,0.00938772
25,1028.04,0.79322,0.37989,1.01247,0.89648,0.87274,0.88753,0.68388,1.16134,0.54101,1.27663,0.00865839,0.00865839,0.00865839
50,2041.09,0.71997,0.33111,0.97879,0.90046,0.87231,0.89893,0.68717,1.1932,0.53074,1.33324,0.00520548,0.00520548,0.00520548
23,947.171,0.8033,0.38642,1.01385,0.89822,0.87166,0.88962,0.67868,1.15611,0.54327,1.26324,0.00886404,0.00886404,0.00886404
61,2488.22,0.69072,0.31404,0.96739,0.88888,0.87166,0.89239,0.6854,1.20813,0.54287,1.35259,0.00352037,0.00352037,0.00352037
56,2285.03,0.70228,0.32028,0.97106,0.89979,0.87123,0.89157,0.68333,1.19825,0.54686,1.34064,0.00427565,0.00427565,0.00427565
52,2122.47,0.71146,0.32629,0.97591,0.90676,0.8708,0.89883,0.68409,1.20539,0.54063,1.32701,0.00489452,0.00489452,0.00489452
42,1717.01,0.74326,0.3456,0.98826,0.89501,0.87037,0.88887,0.68171,1.18128,0.53912,1.31135,0.00643101,0.00643101,0.00643101
26,1068.47,0.78858,0.3782,1.01051,0.90168,0.86994,0.89017,0.67759,1.17929,0.5453,1.30029,0.00855018,0.00855018,0.00855018
45,1838.1,0.73289,0.33872,0.98201,0.90121,0.86994,0.89562,0.68889,1.1814,0.5346,1.30649,0.00597754,0.00597754,0.00597754
16,663.084,0.83339,0.41283,1.03208,0.898,0.86951,0.89339,0.68096,1.1539,0.5691,1.27711,0.00946048,0.00946048,0.00946048
18,744.173,0.82021,0.40139,1.0263,0.88427,0.86929,0.87783,0.66439,1.18333,0.56476,1.27924,0.00931067,0.00931067,0.00931067
35,1432.84,0.7628,0.3578,0.99543,0.89945,0.86929,0.88736,0.67963,1.17942,0.54355,1.30669,0.00743468,0.00743468,0.00743468
24,987.607,0.79478,0.38157,1.01275,0.90237,0.86908,0.89418,0.68205,1.16009,0.56861,1.25762,0.00876305,0.00876305,0.00876305
22,906.661,0.80785,0.38906,1.01764,0.90662,0.86885,0.89388,0.67518,1.15266,0.55905,1.25626,0.00896127,0.00896127,0.00896127
47,1919.22,0.72761,0.33511,0.98119,0.91539,0.86843,0.90206,0.6909,1.17915,0.5288,1.30587,0.0056704,0.0056704,0.0056704
37,1513.81,0.75482,0.3523,0.99249,0.90839,0.86799,0.89572,0.68761,1.17149,0.52236,1.29552,0.00715761,0.00715761,0.00715761
