epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,,,,
34,10348.5,0.19697,0.25616,0.06471,0.91519,0.90095,0.89276,0.67027,0.31734,0.30612,0.16942,7.57E-05,7.57E-05,7.57E-05,,,172.475,2.874583333
35,10651.4,0.19666,0.25518,0.06459,0.9152,0.90095,0.8935,0.66956,0.31656,0.3103,0.16744,7.43E-05,7.43E-05,7.43E-05,,,177.5233333,2.958722222
36,10954.4,0.19397,0.25318,0.06341,0.9188,0.89881,0.89258,0.66875,0.31756,0.30747,0.16948,7.30E-05,7.30E-05,7.30E-05,,,182.5733333,3.042888889
37,11257.7,0.19223,0.25159,0.06283,0.9174,0.89966,0.89244,0.66923,0.31729,0.30929,0.16979,7.16E-05,7.16E-05,7.16E-05,,,187.6283333,3.127138889
38,11561.6,0.19002,0.24976,0.06211,0.91709,0.89987,0.89291,0.66807,0.31757,0.31013,0.16913,7.02E-05,7.02E-05,7.02E-05,,,192.6933333,3.211555556
39,11864.6,0.18787,0.24871,0.06193,0.91805,0.89815,0.89138,0.66692,0.31783,0.30961,0.16946,6.87E-05,6.87E-05,6.87E-05,,,197.7433333,3.295722222
40,12167.9,0.18687,0.24771,0.06141,0.91414,0.90124,0.89059,0.66532,0.31819,0.31154,0.17055,6.73E-05,6.73E-05,6.73E-05,,,202.7983333,3.379972222
41,12473.4,0.18472,0.24638,0.06059,0.91686,0.89987,0.89026,0.66486,0.31884,0.31128,0.17091,6.58E-05,6.58E-05,6.58E-05,,,207.89,3.464833333
42,12776.9,0.18325,0.24503,0.06039,0.91638,0.90031,0.89078,0.66462,0.31799,0.31404,0.17013,6.43E-05,6.43E-05,6.43E-05,,,212.9483333,3.549138889
43,13080.4,0.18186,0.24411,0.05958,0.91895,0.89772,0.89072,0.66509,0.31833,0.31438,0.17068,6.28E-05,6.28E-05,6.28E-05,,,218.0066667,3.633444444
44,13384.9,0.18064,0.24274,0.05926,0.91755,0.89823,0.89098,0.66468,0.31879,0.31409,0.17067,6.13E-05,6.13E-05,6.13E-05,,,223.0816667,3.718027778
45,20351.9,0.17911,0.24206,0.05891,0.91551,0.89968,0.89074,0.66437,0.31968,0.31375,0.172,5.98E-05,5.98E-05,5.98E-05,,,339.1983333,5.653305556
46,20655.5,0.17718,0.24025,0.05839,0.91341,0.90158,0.89018,0.66421,0.31944,0.31387,0.17188,5.82E-05,5.82E-05,5.82E-05,,,344.2583333,5.737638889
47,20958.9,0.17579,0.23953,0.0577,0.91183,0.90156,0.88951,0.66365,0.31892,0.31517,0.17098,5.67E-05,5.67E-05,5.67E-05,,,349.315,5.821916667
48,21264.4,0.17561,0.23902,0.05736,0.9124,0.90009,0.88947,0.66351,0.31945,0.31504,0.17119,5.52E-05,5.52E-05,5.52E-05,,,354.4066667,5.906777778
49,21568.6,0.1738,0.2374,0.05747,0.91208,0.90244,0.88879,0.66327,0.31997,0.31597,0.17168,5.36E-05,5.36E-05,5.36E-05,,,359.4766667,5.991277778
50,21873.8,0.17238,0.23626,0.05666,0.91345,0.90074,0.88857,0.66316,0.32052,0.31643,0.17199,5.21E-05,5.21E-05,5.21E-05,,,364.5633333,6.076055556
51,22178,0.16995,0.23454,0.05609,0.91478,0.90116,0.88783,0.66291,0.32176,0.31591,0.17234,5.05E-05,5.05E-05,5.05E-05,,,369.6333333,6.160555556
52,22481.4,0.16987,0.2336,0.05612,0.9156,0.90116,0.88881,0.6625,0.32136,0.31667,0.17199,4.89E-05,4.89E-05,4.89E-05,,,374.69,6.244833333
53,22787.3,0.16805,0.23289,0.05503,0.91462,0.90116,0.88795,0.66239,0.321,0.31625,0.17167,4.74E-05,4.74E-05,4.74E-05,,,379.7883333,6.329805556
54,23092.9,0.16785,0.23169,0.05497,0.91458,0.89966,0.88699,0.66232,0.32085,0.31633,0.17158,4.58E-05,4.58E-05,4.58E-05,,,384.8816667,6.414694444
55,23397.3,0.16639,0.23054,0.05469,0.9148,0.89987,0.88687,0.66244,0.32084,0.31723,0.17121,4.43E-05,4.43E-05,4.43E-05,,,389.955,6.49925
56,23700.8,0.16384,0.22886,0.05373,0.91415,0.9003,0.88678,0.66227,0.32102,0.31875,0.17127,4.28E-05,4.28E-05,4.28E-05,,,395.0133333,6.583555556
57,24004,0.16363,0.22758,0.05365,0.91284,0.9003,0.88617,0.66229,0.32079,0.31928,0.17093,4.12E-05,4.12E-05,4.12E-05,,,400.0666667,6.667777778
58,24307.6,0.16329,0.22738,0.05341,0.91335,0.90073,0.88594,0.662,0.32051,0.32066,0.17087,3.97E-05,3.97E-05,3.97E-05,,,405.1266667,6.752111111
59,24610.5,0.16215,0.22696,0.05319,0.91243,0.90073,0.88593,0.66196,0.32064,0.32126,0.17063,3.82E-05,3.82E-05,3.82E-05,,,410.175,6.83625
60,24912.4,0.16056,0.22557,0.05288,0.9113,0.90116,0.88552,0.66116,0.32112,0.3224,0.17152,3.67E-05,3.67E-05,3.67E-05,,,415.2066667,6.920111111
61,25214.8,0.15867,0.22406,0.05196,0.91257,0.90014,0.88511,0.66076,0.32114,0.32325,0.1712,3.52E-05,3.52E-05,3.52E-05,,,420.2466667,7.004111111
62,25518.4,0.15812,0.22303,0.05178,0.91048,0.90095,0.88449,0.66099,0.32164,0.32348,0.17164,3.37E-05,3.37E-05,3.37E-05,,,425.3066667,7.088444444
63,25821.5,0.15746,0.22242,0.05151,0.91032,0.90052,0.88436,0.66037,0.32196,0.32424,0.17284,3.23E-05,3.23E-05,3.23E-05,,,430.3583333,7.172638889
64,26125.1,0.1561,0.22154,0.0514,0.90977,0.90116,0.88403,0.65996,0.32253,0.32364,0.17341,3.08E-05,3.08E-05,3.08E-05,,,435.4183333,7.256972222
65,26428.9,0.15482,0.22075,0.05092,0.91055,0.90181,0.88386,0.66015,0.32229,0.32545,0.17382,2.94E-05,2.94E-05,2.94E-05,,,440.4816667,7.341361111
66,26733.7,0.15435,0.21933,0.05038,0.90967,0.90045,0.88308,0.6598,0.32297,0.3253,0.17489,2.80E-05,2.80E-05,2.80E-05,,,445.5616667,7.426027778
67,27037.4,0.15303,0.21834,0.05006,0.90985,0.90047,0.8831,0.65923,0.32366,0.32676,0.17536,2.67E-05,2.67E-05,2.67E-05,,,450.6233333,7.510388889
68,27341.7,0.152,0.21729,0.0501,0.90856,0.90052,0.88222,0.65907,0.32423,0.32704,0.17549,2.53E-05,2.53E-05,2.53E-05,,,455.695,7.594916667
69,27645.5,0.15122,0.21671,0.04962,0.90827,0.89987,0.88154,0.65844,0.32507,0.32744,0.17616,2.40E-05,2.40E-05,2.40E-05,,,460.7583333,7.679305556
70,27952.2,0.15074,0.21583,0.04927,0.90829,0.89899,0.8811,0.65833,0.32575,0.32884,0.17659,2.27E-05,2.27E-05,2.27E-05,,,465.87,7.7645
71,28258.2,0.15003,0.21525,0.04927,0.90804,0.89621,0.88045,0.65874,0.32655,0.32952,0.17715,2.14E-05,2.14E-05,2.14E-05,,,470.97,7.8495
72,28566.3,0.14832,0.21362,0.049,0.909,0.89504,0.88025,0.65801,0.32676,0.33067,0.17748,2.02E-05,2.02E-05,2.02E-05,,,476.105,7.935083333
73,28873.5,0.14768,0.21436,0.04844,0.91126,0.89276,0.87997,0.65798,0.32725,0.33115,0.17778,1.89E-05,1.89E-05,1.89E-05,,,481.225,8.020416667
74,29181.2,0.14694,0.21233,0.04848,0.9103,0.893,0.88004,0.65832,0.32724,0.33201,0.17779,1.78E-05,1.78E-05,1.78E-05,,,486.3533333,8.105888889
75,29489.2,0.14632,0.21237,0.04809,0.91012,0.89304,0.87916,0.65716,0.32628,0.33428,0.17603,1.66E-05,1.66E-05,1.66E-05,,,491.4866667,8.191444444
76,29798.1,0.14609,0.21168,0.04788,0.91779,0.88671,0.87924,0.65857,0.32646,0.33524,0.17606,1.55E-05,1.55E-05,1.55E-05,,,496.635,8.27725
77,30105.4,0.14597,0.21119,0.04797,0.91161,0.89208,0.87855,0.65804,0.32637,0.33639,0.17628,1.44E-05,1.44E-05,1.44E-05,,,501.7566667,8.362611111
78,30413,0.14491,0.21078,0.04759,0.91306,0.89018,0.87854,0.65749,0.32658,0.3369,0.17649,1.34E-05,1.34E-05,1.34E-05,,,506.8833333,8.448055556
79,30719.9,0.14408,0.21003,0.04739,0.9184,0.88563,0.87876,0.65764,0.32716,0.33676,0.1771,1.24E-05,1.24E-05,1.24E-05,,,511.9983333,8.533305556
80,31027.6,0.14409,0.20993,0.04684,0.91135,0.89406,0.87904,0.65779,0.32688,0.33856,0.17684,1.14E-05,1.14E-05,1.14E-05,,,517.1266667,8.618777778
81,31334.8,0.14257,0.20862,0.04692,0.91248,0.89018,0.87835,0.65774,0.32728,0.33938,0.1769,1.05E-05,1.05E-05,1.05E-05,,,522.2466667,8.704111111
82,31641.9,0.14323,0.2085,0.04681,0.90931,0.89273,0.8783,0.65779,0.32715,0.34042,0.17679,9.56E-06,9.56E-06,9.56E-06,,,527.365,8.789416667
83,31949.9,0.14209,0.2075,0.04623,0.91129,0.89029,0.87844,0.65751,0.32751,0.34116,0.17711,8.71E-06,8.71E-06,8.71E-06,,,532.4983333,8.874972222
84,32256.8,0.14185,0.20745,0.04678,0.91505,0.88544,0.87735,0.65761,0.32768,0.3416,0.1772,7.89E-06,7.89E-06,7.89E-06,,,537.6133333,8.960222222
85,32564.8,0.14221,0.20758,0.04651,0.91374,0.88566,0.87681,0.6572,0.32771,0.34262,0.17694,7.12E-06,7.12E-06,7.12E-06,,,542.7466667,9.045777778
86,32872,0.14124,0.20646,0.0464,0.91155,0.88761,0.87747,0.65778,0.3281,0.34265,0.17717,6.40E-06,6.40E-06,6.40E-06,,,547.8666667,9.131111111
87,33178.1,0.14069,0.20631,0.04618,0.91297,0.88702,0.87699,0.65758,0.32842,0.344,0.17743,5.71E-06,5.71E-06,5.71E-06,,,552.9683333,9.216138889
88,33485.2,0.14019,0.20611,0.04594,0.91148,0.88727,0.87653,0.6574,0.32862,0.34434,0.17762,5.07E-06,5.07E-06,5.07E-06,,,558.0866667,9.301444444
89,33792.9,0.14035,0.20635,0.0458,0.91155,0.88554,0.87652,0.65754,0.32913,0.34476,0.17918,4.48E-06,4.48E-06,4.48E-06,,,563.215,9.386916667
90,34100.4,0.13973,0.20515,0.04591,0.91152,0.88531,0.87612,0.65689,0.32933,0.34717,0.17929,3.93E-06,3.93E-06,3.93E-06,,,568.34,9.472333333
91,34406.7,0.13342,0.20059,0.05004,0.91167,0.88515,0.87587,0.65734,0.32887,0.34592,0.17772,3.42E-06,3.42E-06,3.42E-06,,,573.445,9.557416667
92,34711.2,0.12999,0.19652,0.04862,0.91112,0.88523,0.87556,0.65711,0.32936,0.34572,0.17808,2.97E-06,2.97E-06,2.97E-06,,,578.52,9.642
93,35015.2,0.12884,0.19556,0.04808,0.91098,0.88501,0.87549,0.65698,0.32992,0.34649,0.17827,2.56E-06,2.56E-06,2.56E-06,,,583.5866667,9.726444444
94,35321.1,0.12805,0.19474,0.04763,0.91024,0.88394,0.87447,0.65672,0.32991,0.34757,0.17842,2.19E-06,2.19E-06,2.19E-06,,,588.685,9.811416667
95,35622.5,0.1277,0.19456,0.04774,0.91959,0.8764,0.87485,0.65658,0.33013,0.34801,0.17851,1.88E-06,1.88E-06,1.88E-06,,,593.7083333,9.895138889
96,35923.3,0.12728,0.19432,0.04777,0.91885,0.87705,0.8751,0.65621,0.33082,0.34867,0.17999,1.61E-06,1.61E-06,1.61E-06,,,598.7216667,9.978694444
97,36224.2,0.12734,0.19397,0.04767,0.90888,0.8848,0.87421,0.65581,0.33141,0.34872,0.18126,1.39E-06,1.39E-06,1.39E-06,,,603.7366667,10.06227778
98,36526.6,0.12661,0.19366,0.04754,0.90993,0.88437,0.87478,0.65581,0.33195,0.34924,0.18306,1.22E-06,1.22E-06,1.22E-06,,,608.7766667,10.14627778
99,36828.5,0.12669,0.19316,0.04722,0.90894,0.88501,0.87465,0.65587,0.33263,0.34942,0.18351,1.10E-06,1.10E-06,1.10E-06,,,613.8083333,10.23013889
100,37130.5,0.12624,0.19283,0.04729,0.90925,0.88446,0.87447,0.65573,0.33266,0.34958,0.18353,1.02E-06,1.02E-06,1.02E-06,,,618.8416667,10.31402778
,10.31402778,,,,,,,,,,,,,,,,,
